Callsign,Relay of,Frequency,City,S/P,Country,Format,Slogan,ID,ERP-H,ERP-V,HAAT-H,HAAT-V,Lat-N,Long-W,Lang,Mode,PI Code,PS Info,Radiotext,PTY,Remarks
CBSM-FM,,89.5,SAULT STE MARIE,ON,CAN,NEWS/TALK,CBC RADIO ONE SUDBURY,900102,46,0,116,0,46-35-50,84-16-53,,Mono,,,,,
CIUT-FM,,89.5,TORONTO,ON,CAN,ADULT ALTERNATIVE,CIUT 89.5 FM,900103,15,15,269.7,269.7,43-38-56,79-22-54,,,C8B4,CIUT-FM,CIUT-FM The Sound of Your City,,
CJBR-FM-1,CJBR-FM 89.1,89.5,RIVIÈRE-DU-LOUP,QC,CAN,NEWS/TALK,ICI RADIO-CANADA PREMIERE,900104,100,0,343,0,47-34-37,69-22-58,French,Mono,B204- - 'WJG',ICI PREMIERE,ICI RADIO CANADA PREMIERE,Talk,
XHNAL-FM,93.9,89.5,TONALÁ,CHIS,MEX,CULTURE VARIETY,DIGITAL 89,800061,97,97,90,90,16-06-48,93-46-53,Other,,,,,,
XHUCT-FM,,89.5,TORREÓN,COAH,MEX,COLLEGE,RADIO UNIVERSIDAD,800062,3,3,56,56,25-32-05,103-26-34,Spanish,,,,,,Universidad Autónoma de Coahuila
XHME-FM,,89.5,PUERTO VALLARTA,JAL,MEX,CONTEMPORARY HIT RADIO,MATCH,800064,50.58,50.58,-52.3,-52.3,20-36-39,105-13-34,Spanish,,,,,,
XHCPFQ-FM,102.1,89.5,SABINAS HIDALGO,NL,MEX,CLASSICAL/OPERA/ARTS,RADIO NUEVO LEÓN — VIVE FM,800066,3,3,-60.7,-60.7,26-29-54,100-10-52,Spanish,,,,,,EX: XHSAB-FM
XHUAQ-FM,,89.5,SANTIAGO DE QUERÉTARO,QRO,MEX,COLLEGE,RADIO UNIVERSIDAD,800067,3,3,98.22,98.22,20-37-27,100-22-14,Spanish,,----,UAQ 89. 5 RADIO,,,Universidad Autonóma de Querétaro
XHCSI-FM,750 AM,89.5,CULIACÁN ROSALES,SIN,MEX,ROMANTICA,ROMÁNTICA,800068,25,25,35.59,35.59,24-50-43,107-24-58,Spanish,,,,,,
XHRCL-FM,,89.5,SAN LUIS RÍO COLORADO,SON,MEX,RANCHERA,RADIO VARIEDADES FM,800069,15,15,39.75,39.75,32-28-44,114-46-31,Spanish,,,,,,
XHRV-FM,,89.5,VALLE HERMOSO,TAMPS,MEX,REGIONAL MEXICAN,LA MERA MERA,800070,100,100,80.95,80.95,25-45-02,97-48-56,Spanish,HD,FFA1,XHRV-FM,,,FFA1 - 'WTL'
XHFTI-FM,,89.5,FORTÍN DE LAS FLORES,VER,MEX,ADULT HITS,LA LUPE,800071,60,60,453,453,18-52-18,97-00-14,Spanish,,,,,,
K208GA,KORB 88.7,89.5,PETALUMA,CA,USA,RELIGIOUS TEACHING,KFAITH 103.1,156262,0.004,0.01,361,0,38-19-56,122-35-44,,,,,,,
WCWD,WWNO 89.9 HD2,89.5,COVINGTON,LA,USA,CLASSICAL,CLASSICAL 104.9,767498,0.75,0.75,94,94,30-34-24,90-12-37,,,5C2F,,,Classical,
